"Pilot Name","First Name","Rank","Victories","Jagdgeschwader","Remarks","Awards","References"
"DINGER","Fritz","Oblt."," 67","JG 53","KIA on 27.Jul.43 in bombing raid. 600+ ff","RK","O.K.L. Fighter Claims; Prien/Bock; Prien, JG 53, III; Obermaier p.101"
"Deterra","Paul-Rudolf","Oblt."," 20","JG 1, JG 54","Stkp. KIA on 16.Jul.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Burk","Alfred","Oblt."," 28","JG 2, JG 52, JG 27","Stkp. KIA on 31.Oct.43 in Luftkampf.","DK","O.K.L. Fighter Claims; Prien/Bock; Prien/Rodeike/Stemmer, III. & IV./JG 27; Ring/Girbig, JG 27"
"Diepgen","Hans-Ulrich","Ofhr."," 11","JG 54","KIA on 11.Nov.42 in Luftkampf.",,"O.K.L. Fighter Claims"
"Dettke","Alfred","Fw."," 45","JG 54","KIA on 5.Jan.43 in Luftkampf.","DK","O.K.L. Fighter Claims; Prien/Bock"
"Dobrath","Walter","Fw."," 12","JG 1",,,"O.K.L. Fighter Claims; Prien & Rodeike, JG 1 & 11, II"
"CORDES","Udo","Oblt.","  2","KG3, SG2","11+ pz, 81 locomotives, 296 ff.","RK","Obermaier, II, p.95"
"DENK","Gustav","Oblt."," 67","JG 52","Stkp. KIA on 13.Feb.43 by Flak. 500+ ff","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.100; Fast, JG 52, IV, p.84"
"DÖBRICH","Hans","Fw."," 65","JG 5","WIA on 16.Jul.43 by enemy fighters after downing 2. 275 ff","RK","Obermaier p.101"
"Dobnigk","Josef","Uffz.","  9","JG 51",,,"O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"DICKFELD","Adolf","Oberst","132","JG 52, JG 2, JG 11","12 Viermots","EL","O.K.L. Fighter Claims; Prien/Bock; Obermaier, p.50"
"Buhrow","Ernst","Ltn.","  7","JG 77",,,"Prien, JG 77, III"
"Clässen","Johann","Fw.","  7","JG 3","MIA on 25.Dec.44 after Luftkampf.",,"O.K.L. Fighter Claims; Prien, IV./JG 3"
"Christof","Ernst","Fw.","  9","JG 26","KIA on 30.Jul.43.",,"O.K.L. Fighter Claims; Prien/Bock; Caldwell; Priller, JG 26"
"Christmann","Herbert","Oblt.","  6","JGr.50, JG 11","Stkp. KIA on 20.Aug.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien & Rodeike, JG 1 & 11, II"
"Busse","Lothar","Uffz.","  6","JG 51","WIA on 15.Feb.45 in Bruchlandung.",,"Aders/Held, JG 51"
"Busch","Rudolf","Oblt."," 40","JG 51","Stkp. KIFA on 17.Jan.43.","DK","O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"Daspelgruber","Franz","Oblt."," 46","JG 3","Stkp. MIA on 16.Jul.43.","DK","O.K.L. Fighter Claims; Prien, IV./JG 3"
"BUCHOLZ","Max","Oblt."," 28","JG 3, JG 1","170~ ff","RK","O.K.L. Fighter Claims; Prien/Bock; Prien & Rodeike, JG 1 & 11, I; Obermaier, p.96"
"DAMMERS","Hans","Ltn.","113","JG 52","WIA on 13.Mar.44, DOW 17.Mar. 23 more unconfirmed.","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.99; Fast Vol. IV p.122"
"Brill","Karl","Ltn."," 52","JG 54, JG 7","Maybe only 35.","DK?","O.K.L. Fighter Claims; Scutts, JG 54; Barbas, Planes of the Luftwaffe Aces, II; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Bösch","Oskar","Fw."," 18","Sturmst.1, JG 3","8 Viermots",,"Prien, IV./JG 3; Mombeek, Sturmstaffel 1"
"Crump","Peter","Ofw."," 31","JG 26, JG 54",,,"O.K.L. Fighter Claims; Prien/Bock; FB; Priller, JG 26"
"DOMBACHER","Kurt","Oblt."," 68","JG 1, JG 5, JG 51","43 Il-2s, 800+ ff","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.102; Aders/Held, JG 51"
"Dirksen","Hans","Fw.","  5","JG 26","KIA on 21.Sep.43 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Priller, JG 26"
"Dietze","Gottfried","Ltn.","  5","JG 26",,,"O.K.L. Fighter Claims; Prien/Bock; Caldwell; Priller, JG 26"
"DASSOW","Rudi","Ltn."," 22","ZG1, JG 6","KIA on 25.Aug.44 in Luftkampf with P-38s. 12 Viermots","RK","O.K.L. Fighter Claims; Obermaier p.100"
"CARGANICO","Horst","Major"," 60","JG 77, JG 5","KIFA on 27.May.44. 600~ ff","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.98"
"Dietrich","Klaus","Fw."," 18","JG 51, Führer-Jagdsta.",,,"O.K.L. Fighter Claims; Aders/Held, JG 51; Barbas, Planes of the Luftwaffe Aces, II"
"Boll","Hermann","Uffz.","  6","JG 3","MIA on 12.Dec.42 after Luftkampf with LaGG-3.",,"Prien, III./JG 3"
"Dau","Arthur","Ofw.","  7","JG 51","POW on 28.Aug.40 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"Bürschgens","Josef","Ltn."," 10","JG 26","POW on 1.Sep.40. 1st JG 26 victory on 28.Sep.39.",,"O.K.L. Fighter Claims; Prien/Bock; Priller, JG 26"
"Büsgens","Günther","Oblt.","  6","JG 52","Stfhr. POW on 12.Oct.40 after Luftkampf.",,"Prien/Bock; JG 52, IV/Fast, p.39"
"Buschmann","Herbert","Uffz.","  5","JG 51","MIA on 5.Aug.41 due to enemy fire.",,"Prien/Bock; Aders/Held, JG 51"
"Claus","Georg","Oblt."," 17","JG 53, JG 51","Stkp. POW on 11.Nov.40 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"CRINIUS","Wilhelm","Ltn.","114","JG 53","POW on 13.Jan.43 after Luftkampf with Spitfires. 400~ ff","EL","O.K.L. Fighter Claims; Prien, JG 53, II; Obermaier p.53"
"Diergaardt","Rolf","Ltn."," 29","JG 3","Stfhr. MIA on 11.Aug.42.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, III./JG 3"
"Budke","Wilhelm","Fw."," 15","JG 53","WIA on 19.Sep.42 in Luftkampf with IL-2. DOW 11.Nov.42.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 53, II"
"BRUNNER","Albert","Ofw."," 53","JG 5","KIA on 7.May.43 in Luftkampf. 135 ff","RK","Obermaier p.95"
"Bulow","Hokan von","Oblt.","  6","JG 54","MIA on 13.May.42 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Dahmen","Hans","Uffz.","  7+","JG 300","KIA on 3.Feb.45 in Luftkampf.",,"O.K.L. Fighter Claims"
"Dahn","Friedrich","Ltn."," 26","JGr.z.b.V., JG 5","MIA on 25.May.42.","DK","Prien/Bock; Girbig, JG 5"
"Brockerhoff","Wilhelm","Uffz.","  6","NJG 3","Killed in crash on 24.Dec.43. 4 listed!!",,"O.K.L. Fighter Claims; LW NF Claims 39-45; E. Brown"
"Brock","Friedrich","Oblt.","  8","JG 54",,,"O.K.L. Fighter Claims; Scutts, JG 54"
"DAHL","Walter","Oberst","129","JG 3, JGzbV, JG 300, EJG2; Insp.der Tagjäger","30 Viermots, 34 Il-2s.","EL","Obermaier; Prien, III./JG 3; Foreman/Harvey, Me262 Combat Diary"
"Doegen","Wolfrum","Uffz.","  8","JG 51","MIA on 11.Nov.42 after Luftkampf.",,"O.K.L. Fighter Claims"
"BROMEN","Wilhelm","Oblt.","  7","St.G.2, SG151, SG9","76 pz, 965 ff.","RK","Obermaier, II, p.92"
"Büttner","Johannes","Ofw."," 16","JG 51",,,"Prien/Bock"
"Cetto","Werner","Uffz."," 10","JG 3",,,"O.K.L. Fighter Claims"
"Decker",,"Hptm.","  5","NJG 3",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Christoph","Kurt","Uffz."," 11","JG 54","KIA on 24.May.43 in Luftkampf.",,"O.K.L. Fighter Claims"
"Busch","Erwin","Oblt.","  8","JG 26",,,"O.K.L. Fighter Claims; Prien/Bock; Priller, JG 26"
"DOMMERATZKY","Otto","Ltn."," 38","II(S)/LG2, Sch.G.1, SG2","KIFA on 13.Oct.44. 600~ ff","EL","O.K.L. Fighter Claims; Obermaier, II, p.73"
"Bruhns","Erwin","Fw.","  5","JG 51",,,"O.K.L. Fighter Claims; Aders/Held, JG 51"
"Büthe","Alfred","Fw.","  5","JG 300","WIA on 24.Mar.45. DOW.",,"O.K.L. Fighter Claims"
"DIEKWISCH","Erwin-Peter","Hptm."," 12","St.G.1, SG5, KG200","64 pz, 934 ff.","RK","Obermaier, II, p.97"
"DÖBELE","Anton","Ofw."," 94","JG 54","KIA on 11.Nov.43 in Luftkampf. 458 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.101"
"Brunner","Friedrich","Uffz.","  7","JG 5",,,"O.K.L. Fighter Claims"
"DIEPOLD","Max","Oblt.",,"SG 2, SG 77","87 pz, 500 ff.","RK","Obermaier, II, p.98"
"Bürger","Horst","Uffz."," 12","JG 54","KIA on 1.Aug.43 due to Flak.",,"O.K.L. Fighter Claims"
"Delfs","Rudolf","Uffz.","  2","JG 51","Killed in crash on 9.Oct.40.",,"O.K.L. Fighter Claims; Prien/Bock"
"Bolm","Ulrich","Oblt."," 11","JG 11","Stkp.",,"Prien/Rodeike, JG 1 & 11, III"
"Bubel","Eduard","Ofw."," 13","JG 54, JG 11","KIFA on 25.Apr.45.",,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, III"
"Düding","Rudi","Ofw."," 18","NJG 100","16 listed!",,"O.K.L. Fighter Claims; LW NF Claims 39-45; Aders, History of the German Night Fighter Force 1917-1945"
"Dudszus","Albert","Ofw.","  5","ZG 26, SG 10",,,"O.K.L. Fighter Claims"
"Dühn","Ewald","Fw."," 23","JG 52","KIA on 23.Oct.41 in Luftkampf.",,"Prien/Bock; Fast, JG 52, IV p. 53"
"DÜLLBERG","Ernst","Major"," 50","JG 3, JG 27, JG 76, JG 7","10 Viermots, 650 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Prien/Rodeike/Stemmer, III. & IV./JG 27; Obermaier p.104; Ring/Girbig, JG 27; Foreman/Harvey, Me262 Combat Diary"
"Dünkel",,"Oblt.","  9","NAGr. 4, NAGr. 12",,,"O.K.L. Fighter Claims"
"Dürkop","Otto","Uffz.","  9","JG 54",,,"O.K.L. Fighter Claims; Prien/Bock"
"Emmerich","Peter","Oblt.","  6+","JGr.186, JG 51",,,"O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"Engau","Fritz","Oblt.","  5","NJG 1, JG 11","Stkp. Injured on 15.Jun.44.",,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, II"
