"unit","rd","unit_type","total_kills","pilots_w_kills","aces","gt_20","entries","exits","ace_entries","ace_exits","sum_claims","date"
"JG 300",1,"wilde_sau",54,17,3,0,0,0,0,0,0,1943-12-17
"JG 301",1,"wilde_sau",12,3,1,0,0,0,0,0,0,1943-12-17
"JG 302",1,"wilde_sau",32,9,2,0,0,0,0,0,0,1943-12-17
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-12-17
"JG 5",0,"JG",512,55,37,5,0,1,0,1,1,1943-12-17
"JG 51",0,"JG",3460,156,132,53,0,0,0,0,1,1943-12-17
"JG 52",0,"JG",3036,113,86,38,0,0,0,0,10,1943-12-17
"JG 53",0,"JG",758,56,35,12,0,0,0,0,0,1943-12-17
"JG 53",1,"JG",242,23,13,3,0,0,0,0,0,1943-12-17
"JG 54",0,"JG",2464,92,69,33,0,0,0,0,5,1943-12-17
"JG 54",1,"JG",258,17,14,4,0,0,0,0,0,1943-12-17
"JG 77",0,"JG",1367,90,56,18,0,0,0,0,0,1943-12-17
"JG27",0,"JG",14,2,1,0,0,0,0,0,0,1943-12-17
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1943-12-17
"JGr. 50",0,"JG",125,1,1,1,0,0,0,0,0,1943-12-17
"JGr. Ost",0,"JG",12,1,1,0,0,0,0,0,0,1943-12-17
"JGr. Süd",0,"JG",172,1,1,1,0,0,0,0,0,1943-12-17
"Kdo.Herr.",0,"JG",5,3,0,0,0,0,0,0,0,1943-12-17
"KG 40",0,"JG",37,6,3,0,0,0,0,0,0,1943-12-17
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-12-17
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-17
"NAGr. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-17
"NAGr. 4",0,"JG",54,8,3,1,0,0,0,0,0,1943-12-17
"NJG 1",1,"NJG",780,51,36,15,0,0,0,0,0,1943-12-17
"NJG 100",0,"NJG",180,17,11,2,0,0,0,0,0,1943-12-17
"NJG 101",0,"NJG",34,6,2,1,0,0,0,0,0,1943-12-17
"NJG 2",1,"NJG",80,17,6,0,0,0,0,0,0,1943-12-17
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1943-12-17
"NJG 3",1,"NJG",321,41,17,3,0,0,0,0,0,1943-12-17
"NJG 4",1,"NJG",190,15,10,3,0,0,0,0,0,1943-12-17
"NJG 5",1,"NJG",195,23,11,3,0,0,0,0,0,1943-12-17
"NJG 6",1,"NJG",103,12,8,2,0,0,0,0,0,1943-12-17
"Schl.G 1",0,"JG",13,2,1,0,0,0,0,0,0,1943-12-17
"Schl.G. 1",0,"JG",9,4,0,0,0,0,0,0,0,1943-12-17
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-17
"SG 1",0,"JG",4,1,0,0,0,0,0,0,0,1943-12-17
"SG 2",0,"JG",46,8,5,0,0,0,0,0,4,1943-12-17
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1943-12-17
"SG 77",0,"JG",8,1,1,0,0,0,0,0,0,1943-12-17
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-12-17
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-17
"ZG 1",1,"ZG",72,17,6,0,0,0,0,0,0,1943-12-17
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1943-12-17
"ZG 26",1,"ZG",90,15,8,0,0,0,0,0,0,1943-12-17
"ZG 76",1,"ZG",64,12,7,0,0,0,0,0,0,1943-12-17
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1943-12-18
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-12-18
"J.Gr. Süd",0,"JG",4,2,0,0,0,0,0,0,0,1943-12-18
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-12-18
"JG 1",1,"JG",406,43,24,6,0,0,0,0,0,1943-12-18
"JG 104",0,"JG",25,1,1,1,0,0,0,0,0,1943-12-18
"JG 11",1,"JG",484,41,19,6,0,0,0,0,0,1943-12-18
"JG 2",1,"JG",864,58,38,12,0,0,0,0,0,1943-12-18
"JG 26",1,"JG",1021,56,44,16,0,0,0,0,0,1943-12-18
"JG 27",0,"JG",314,23,13,4,0,0,0,0,0,1943-12-18
"JG 27",1,"JG",493,42,28,6,0,0,0,0,0,1943-12-18
"JG 3",0,"JG",260,2,2,2,0,0,0,0,0,1943-12-18
"JG 3",1,"JG",2152,103,77,34,0,0,0,0,0,1943-12-18
"JG 300",1,"wilde_sau",54,17,3,0,0,0,0,0,0,1943-12-18
"JG 301",1,"wilde_sau",12,3,1,0,0,0,0,0,0,1943-12-18
"JG 302",1,"wilde_sau",32,9,2,0,0,0,0,0,0,1943-12-18
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-12-18
"JG 5",0,"JG",506,54,36,5,0,0,0,0,0,1943-12-18
"JG 51",0,"JG",3460,156,132,53,0,0,0,0,0,1943-12-18
"JG 52",0,"JG",3036,113,86,38,0,0,0,0,0,1943-12-18
"JG 53",0,"JG",759,56,35,12,0,0,0,0,1,1943-12-18
"JG 53",1,"JG",242,23,13,3,0,0,0,0,0,1943-12-18
"JG 54",0,"JG",2470,92,69,33,0,0,0,0,4,1943-12-18
"JG 54",1,"JG",258,17,14,4,0,0,0,0,0,1943-12-18
"JG 77",0,"JG",1367,90,56,18,0,0,0,0,0,1943-12-18
"JG27",0,"JG",14,2,1,0,0,0,0,0,0,1943-12-18
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1943-12-18
"JGr. 50",0,"JG",125,1,1,1,0,0,0,0,0,1943-12-18
"JGr. Ost",0,"JG",12,1,1,0,0,0,0,0,0,1943-12-18
"JGr. Süd",0,"JG",172,1,1,1,0,0,0,0,0,1943-12-18
"Kdo.Herr.",0,"JG",5,3,0,0,0,0,0,0,0,1943-12-18
"KG 40",0,"JG",37,6,3,0,0,0,0,0,0,1943-12-18
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-12-18
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-18
"NAGr. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-18
"NAGr. 4",0,"JG",54,8,3,1,0,0,0,0,0,1943-12-18
"NJG 1",1,"NJG",780,51,36,15,0,0,0,0,0,1943-12-18
"NJG 100",0,"NJG",180,17,11,2,0,0,0,0,0,1943-12-18
"NJG 101",0,"NJG",34,6,2,1,0,0,0,0,0,1943-12-18
"NJG 2",1,"NJG",80,17,6,0,0,0,0,0,0,1943-12-18
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1943-12-18
"NJG 3",1,"NJG",321,41,17,3,0,0,0,0,0,1943-12-18
"NJG 4",1,"NJG",190,15,10,3,0,0,0,0,0,1943-12-18
"NJG 5",1,"NJG",195,23,11,3,0,0,0,0,0,1943-12-18
"NJG 6",1,"NJG",103,12,8,2,0,0,0,0,0,1943-12-18
"Schl.G 1",0,"JG",13,2,1,0,0,0,0,0,0,1943-12-18
"Schl.G. 1",0,"JG",9,4,0,0,0,0,0,0,0,1943-12-18
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-18
"SG 1",0,"JG",4,1,0,0,0,0,0,0,0,1943-12-18
"SG 2",0,"JG",46,8,5,0,0,0,0,0,0,1943-12-18
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1943-12-18
"SG 77",0,"JG",8,1,1,0,0,0,0,0,0,1943-12-18
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-12-18
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-18
"ZG 1",1,"ZG",72,17,6,0,0,0,0,0,0,1943-12-18
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1943-12-18
"ZG 26",1,"ZG",90,15,8,0,0,0,0,0,0,1943-12-18
"ZG 76",1,"ZG",64,12,7,0,0,0,0,0,0,1943-12-18
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1943-12-19
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-12-19
"J.Gr. Süd",0,"JG",4,2,0,0,0,0,0,0,0,1943-12-19
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-12-19
"JG 1",1,"JG",406,43,24,6,0,0,0,0,0,1943-12-19
"JG 104",0,"JG",25,1,1,1,0,0,0,0,0,1943-12-19
"JG 11",1,"JG",484,41,19,6,0,0,0,0,0,1943-12-19
"JG 2",1,"JG",864,58,38,12,0,0,0,0,0,1943-12-19
"JG 26",1,"JG",1021,56,44,16,0,0,0,0,0,1943-12-19
"JG 27",0,"JG",314,23,13,4,0,0,0,0,0,1943-12-19
"JG 27",1,"JG",496,42,28,6,0,0,0,0,2,1943-12-19
"JG 3",0,"JG",260,2,2,2,0,0,0,0,0,1943-12-19
"JG 3",1,"JG",2177,104,80,34,0,0,2,0,12,1943-12-19
"JG 300",1,"wilde_sau",54,17,3,0,0,0,0,0,0,1943-12-19
"JG 301",1,"wilde_sau",12,3,1,0,0,0,0,0,0,1943-12-19
"JG 302",1,"wilde_sau",32,9,2,0,0,0,0,0,0,1943-12-19
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-12-19
"JG 5",0,"JG",506,54,36,5,0,0,0,0,0,1943-12-19
"JG 51",0,"JG",3461,156,132,53,0,0,0,0,1,1943-12-19
"JG 52",0,"JG",3044,113,86,38,0,0,0,0,5,1943-12-19
"JG 53",0,"JG",759,56,35,12,0,0,0,0,0,1943-12-19
"JG 53",1,"JG",242,23,13,3,0,0,0,0,0,1943-12-19
"JG 54",0,"JG",2470,92,69,33,0,0,0,0,0,1943-12-19
"JG 54",1,"JG",258,17,14,4,0,0,0,0,0,1943-12-19
"JG 77",0,"JG",1367,90,56,18,0,0,0,0,0,1943-12-19
"JG27",0,"JG",14,2,1,0,0,0,0,0,0,1943-12-19
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1943-12-19
"JGr. 50",0,"JG",125,1,1,1,0,0,0,0,0,1943-12-19
"JGr. Süd",0,"JG",172,1,1,1,0,0,0,0,0,1943-12-19
"Kdo.Herr.",0,"JG",5,3,0,0,0,0,0,0,0,1943-12-19
"KG 40",0,"JG",37,6,3,0,0,0,0,0,0,1943-12-19
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-12-19
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-19
"NAGr. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-19
"NAGr. 4",0,"JG",54,8,3,1,0,0,0,0,0,1943-12-19
"NJG 1",1,"NJG",780,51,36,15,0,0,0,0,0,1943-12-19
"NJG 100",0,"NJG",180,17,11,2,0,0,0,0,0,1943-12-19
"NJG 101",0,"NJG",34,6,2,1,0,0,0,0,0,1943-12-19
"NJG 2",1,"NJG",80,17,6,0,0,0,0,0,0,1943-12-19
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1943-12-19
"NJG 3",1,"NJG",321,41,17,3,0,0,0,0,0,1943-12-19
"NJG 4",1,"NJG",190,15,10,3,0,0,0,0,0,1943-12-19
"NJG 5",1,"NJG",195,23,11,3,0,0,0,0,0,1943-12-19
"NJG 6",1,"NJG",103,12,8,2,0,0,0,0,0,1943-12-19
"Schl.G 1",0,"JG",13,2,1,0,0,0,0,0,0,1943-12-19
"Schl.G. 1",0,"JG",9,4,0,0,0,0,0,0,0,1943-12-19
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-19
"SG 2",0,"JG",46,8,5,0,0,0,0,0,0,1943-12-19
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1943-12-19
"SG 77",0,"JG",14,2,2,0,0,0,0,0,1,1943-12-19
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-12-19
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-19
"ZG 1",1,"ZG",72,17,6,0,0,0,0,0,0,1943-12-19
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1943-12-19
"ZG 26",1,"ZG",90,15,8,0,0,0,0,0,0,1943-12-19
"ZG 76",1,"ZG",64,12,7,0,0,0,0,0,0,1943-12-19
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1943-12-20
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-12-20
"J.Gr. Süd",0,"JG",4,2,0,0,0,0,0,0,0,1943-12-20
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-12-20
"JG 1",1,"JG",411,43,24,6,0,0,0,0,4,1943-12-20
"JG 104",0,"JG",25,1,1,1,0,0,0,0,0,1943-12-20
"JG 11",1,"JG",492,41,19,7,0,0,0,0,7,1943-12-20
"JG 2",1,"JG",864,58,38,12,0,0,0,0,0,1943-12-20
"JG 26",1,"JG",1025,57,44,16,1,0,0,0,4,1943-12-20
"JG 27",0,"JG",348,24,14,5,0,0,0,0,4,1943-12-20
"JG 27",1,"JG",470,41,28,5,0,0,1,0,2,1943-12-20
"JG 3",0,"JG",260,2,2,2,0,0,0,0,0,1943-12-20
"JG 3",1,"JG",2178,104,80,34,0,0,0,0,1,1943-12-20
"JG 300",1,"wilde_sau",56,17,3,0,0,0,0,0,1,1943-12-20
"JG 301",1,"wilde_sau",12,3,1,0,0,0,0,0,0,1943-12-20
"JG 302",1,"wilde_sau",32,9,2,0,0,0,0,0,0,1943-12-20
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-12-20
"JG 5",0,"JG",506,54,36,5,0,0,0,0,0,1943-12-20
"JG 51",0,"JG",3461,156,132,53,0,0,0,0,0,1943-12-20
"JG 52",0,"JG",3052,113,87,38,0,1,1,1,6,1943-12-20
"JG 53",0,"JG",759,56,35,12,0,0,0,0,0,1943-12-20
"JG 53",1,"JG",242,23,13,3,0,0,0,0,0,1943-12-20
"JG 54",0,"JG",2387,91,68,32,0,0,0,0,0,1943-12-20
"JG 54",1,"JG",344,18,15,5,0,2,0,1,3,1943-12-20
"JG 77",0,"JG",1367,90,56,18,0,0,0,0,0,1943-12-20
"JG27",0,"JG",14,2,1,0,0,0,0,0,0,1943-12-20
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1943-12-20
"JGr. 50",0,"JG",125,1,1,1,0,0,0,0,0,1943-12-20
"JGr. Süd",0,"JG",172,1,1,1,0,0,0,0,0,1943-12-20
"Kdo.Herr.",0,"JG",5,3,0,0,0,0,0,0,0,1943-12-20
"KG 40",0,"JG",37,6,3,0,0,0,0,0,0,1943-12-20
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-12-20
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-20
"NAGr. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-20
"NAGr. 4",0,"JG",54,8,3,1,0,0,0,0,0,1943-12-20
"NJG 1",1,"NJG",785,51,36,15,0,0,0,0,3,1943-12-20
"NJG 100",0,"NJG",180,17,11,2,0,0,0,0,0,1943-12-20
"NJG 101",0,"NJG",34,6,2,1,0,0,0,0,0,1943-12-20
"NJG 2",1,"NJG",82,17,6,0,0,0,0,0,2,1943-12-20
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1943-12-20
"NJG 3",1,"NJG",327,41,17,3,0,0,0,0,6,1943-12-20
"NJG 4",1,"NJG",205,15,11,3,0,0,0,0,6,1943-12-20
"NJG 5",1,"NJG",195,23,11,3,0,0,0,0,0,1943-12-20
"NJG 6",1,"NJG",111,12,8,2,0,0,0,0,4,1943-12-20
"Schl.G 1",0,"JG",13,2,1,0,0,0,0,0,0,1943-12-20
"Schl.G. 1",0,"JG",9,4,0,0,0,0,0,0,0,1943-12-20
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-20
"SG 2",0,"JG",46,8,5,0,0,0,0,0,0,1943-12-20
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1943-12-20
"SG 77",0,"JG",14,2,2,0,0,0,0,0,0,1943-12-20
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-12-20
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-20
"ZG 1",1,"ZG",69,16,6,0,0,0,0,0,0,1943-12-20
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1943-12-20
"ZG 26",1,"ZG",94,16,8,0,0,0,0,0,1,1943-12-20
"ZG 76",1,"ZG",64,12,7,0,0,0,0,0,0,1943-12-20
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1943-12-21
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-12-21
"J.Gr. Süd",0,"JG",4,2,0,0,0,0,0,0,0,1943-12-21
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-12-21
"JG 1",1,"JG",411,43,24,6,0,0,0,0,0,1943-12-21
"JG 104",0,"JG",25,1,1,1,0,0,0,0,0,1943-12-21
"JG 11",1,"JG",492,41,19,7,0,0,0,0,0,1943-12-21
"JG 2",1,"JG",864,58,38,12,0,0,0,0,0,1943-12-21
"JG 26",1,"JG",1027,57,44,16,0,0,0,0,2,1943-12-21
"JG 27",0,"JG",348,24,14,5,0,0,0,0,0,1943-12-21
"JG 27",1,"JG",470,41,28,5,0,0,0,0,0,1943-12-21
"JG 3",0,"JG",260,2,2,2,0,0,0,0,0,1943-12-21
"JG 3",1,"JG",2178,104,80,34,0,0,0,0,0,1943-12-21
"JG 300",1,"wilde_sau",56,17,3,0,0,0,0,0,0,1943-12-21
"JG 301",1,"wilde_sau",12,3,1,0,0,0,0,0,0,1943-12-21
"JG 302",1,"wilde_sau",32,9,2,0,0,0,0,0,0,1943-12-21
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-12-21
"JG 5",0,"JG",506,54,36,5,0,0,0,0,0,1943-12-21
"JG 51",0,"JG",3461,156,132,53,0,0,0,0,0,1943-12-21
"JG 52",0,"JG",3046,112,86,38,0,0,0,0,0,1943-12-21
"JG 53",0,"JG",759,56,35,12,0,0,0,0,0,1943-12-21
"JG 53",1,"JG",242,23,13,3,0,0,0,0,0,1943-12-21
"JG 54",0,"JG",2387,91,68,32,0,0,0,0,0,1943-12-21
"JG 54",1,"JG",329,16,14,5,0,0,0,0,0,1943-12-21
"JG 77",0,"JG",1367,90,56,18,0,0,0,0,0,1943-12-21
"JG27",0,"JG",14,2,1,0,0,0,0,0,0,1943-12-21
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1943-12-21
"JGr. 50",0,"JG",125,1,1,1,0,0,0,0,0,1943-12-21
"JGr. Süd",0,"JG",172,1,1,1,0,0,0,0,0,1943-12-21
"Kdo.Herr.",0,"JG",5,3,0,0,0,0,0,0,0,1943-12-21
"KG 40",0,"JG",37,6,3,0,0,0,0,0,0,1943-12-21
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-12-21
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-21
"NAGr. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-21
"NAGr. 4",0,"JG",54,8,3,1,0,0,0,0,0,1943-12-21
"NJG 1",1,"NJG",785,51,36,15,0,0,0,0,0,1943-12-21
"NJG 100",0,"NJG",180,17,11,2,0,0,0,0,0,1943-12-21
"NJG 101",0,"NJG",34,6,2,1,0,0,0,0,0,1943-12-21
"NJG 2",1,"NJG",82,17,6,0,0,0,0,0,0,1943-12-21
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1943-12-21
"NJG 3",1,"NJG",327,41,17,3,0,0,0,0,0,1943-12-21
"NJG 4",1,"NJG",205,15,11,3,0,0,0,0,0,1943-12-21
"NJG 5",1,"NJG",195,23,11,3,0,0,0,0,0,1943-12-21
"NJG 6",1,"NJG",111,12,8,2,0,0,0,0,0,1943-12-21
"Schl.G 1",0,"JG",13,2,1,0,0,0,0,0,0,1943-12-21
"Schl.G. 1",0,"JG",9,4,0,0,0,0,0,0,0,1943-12-21
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-21
"SG 2",0,"JG",46,8,5,0,0,0,0,0,0,1943-12-21
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1943-12-21
"SG 77",0,"JG",14,2,2,0,0,0,0,0,0,1943-12-21
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-12-21
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-21
"ZG 1",1,"ZG",69,16,6,0,0,0,0,0,0,1943-12-21
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1943-12-21
"ZG 26",1,"ZG",94,16,8,0,0,0,0,0,0,1943-12-21
"ZG 76",1,"ZG",64,12,7,0,0,0,0,0,0,1943-12-21
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1943-12-22
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-12-22
"J.Gr. Süd",0,"JG",4,2,0,0,0,0,0,0,0,1943-12-22
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-12-22
"JG 1",1,"JG",415,43,24,6,0,1,0,1,4,1943-12-22
"JG 104",0,"JG",25,1,1,1,0,0,0,0,0,1943-12-22
"JG 11",1,"JG",494,41,19,7,0,1,0,1,2,1943-12-22
"JG 2",1,"JG",864,58,38,12,0,0,0,0,0,1943-12-22
"JG 26",1,"JG",1028,57,44,16,0,0,0,0,1,1943-12-22
"JG 27",0,"JG",348,24,14,5,0,0,0,0,0,1943-12-22
"JG 27",1,"JG",470,41,28,5,0,0,0,0,0,1943-12-22
"JG 3",0,"JG",260,2,2,2,0,0,0,0,0,1943-12-22
"JG 3",1,"JG",2179,104,80,34,0,0,0,0,1,1943-12-22
"JG 300",1,"wilde_sau",56,17,3,0,0,0,0,0,0,1943-12-22
"JG 301",1,"wilde_sau",12,3,1,0,0,0,0,0,0,1943-12-22
"JG 302",1,"wilde_sau",32,9,2,0,0,0,0,0,0,1943-12-22
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-12-22
"JG 5",0,"JG",506,54,36,5,0,0,0,0,0,1943-12-22
"JG 51",0,"JG",3461,156,132,53,0,0,0,0,0,1943-12-22
"JG 52",0,"JG",3046,112,86,38,0,0,0,0,0,1943-12-22
"JG 53",0,"JG",759,56,35,12,0,0,0,0,0,1943-12-22
"JG 53",1,"JG",242,23,13,3,0,0,0,0,0,1943-12-22
"JG 54",0,"JG",2387,91,68,32,0,0,0,0,0,1943-12-22
"JG 54",1,"JG",330,16,15,5,0,0,1,0,1,1943-12-22
"JG 77",0,"JG",1367,90,56,18,0,0,0,0,0,1943-12-22
"JG27",0,"JG",14,2,1,0,0,0,0,0,0,1943-12-22
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1943-12-22
"JGr. 50",0,"JG",125,1,1,1,0,0,0,0,0,1943-12-22
"JGr. Süd",0,"JG",172,1,1,1,0,0,0,0,0,1943-12-22
"Kdo.Herr.",0,"JG",5,3,0,0,0,0,0,0,0,1943-12-22
"KG 40",0,"JG",37,6,3,0,0,0,0,0,0,1943-12-22
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-12-22
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-22
"NAGr. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-22
"NAGr. 4",0,"JG",54,8,3,1,0,0,0,0,0,1943-12-22
"NJG 1",1,"NJG",785,51,36,15,0,0,0,0,0,1943-12-22
"NJG 100",0,"NJG",180,17,11,2,0,0,0,0,0,1943-12-22
"NJG 101",0,"NJG",34,6,2,1,0,0,0,0,0,1943-12-22
"NJG 2",1,"NJG",82,17,6,0,0,0,0,0,0,1943-12-22
"NJG 200",0,"NJG",24,1,1,1,0,0,0,0,0,1943-12-22
"NJG 3",1,"NJG",327,41,17,3,0,0,0,0,0,1943-12-22
"NJG 4",1,"NJG",205,15,11,3,0,0,0,0,0,1943-12-22
"NJG 5",1,"NJG",195,23,11,3,0,0,0,0,0,1943-12-22
"NJG 6",1,"NJG",111,12,8,2,0,0,0,0,0,1943-12-22
"Schl.G 1",0,"JG",13,2,1,0,0,0,0,0,0,1943-12-22
"Schl.G. 1",0,"JG",9,4,0,0,0,0,0,0,0,1943-12-22
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-22
"SG 2",0,"JG",46,8,5,0,0,0,0,0,0,1943-12-22
"SG 4",0,"JG",2,1,0,0,0,0,0,0,0,1943-12-22
"SG 77",0,"JG",14,2,2,0,0,0,0,0,0,1943-12-22
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-12-22
"St.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-12-22
"ZG 1",1,"ZG",66,14,6,0,0,0,0,0,0,1943-12-22
"ZG 2",0,"ZG",9,1,1,0,0,0,0,0,0,1943-12-22
"ZG 26",1,"ZG",101,18,9,0,0,0,0,0,3,1943-12-22
"ZG 76",1,"ZG",64,12,7,0,0,0,0,0,0,1943-12-22
"Erpro.Kdo 25",0,"JG",24,1,1,1,0,0,0,0,0,1943-12-23
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-12-23
"J.Gr. Süd",0,"JG",4,2,0,0,0,0,0,0,0,1943-12-23
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-12-23
"JG 1",1,"JG",395,42,23,5,0,0,0,0,0,1943-12-23
"JG 104",0,"JG",25,1,1,1,0,0,0,0,0,1943-12-23
"JG 11",1,"JG",489,40,18,7,0,0,0,0,0,1943-12-23
"JG 2",1,"JG",864,58,38,12,0,0,0,0,0,1943-12-23
"JG 26",1,"JG",1028,57,44,16,0,0,0,0,0,1943-12-23
"JG 27",0,"JG",348,24,14,5,0,0,0,0,0,1943-12-23
"JG 27",1,"JG",470,41,28,5,0,0,0,0,0,1943-12-23
"JG 3",0,"JG",260,2,2,2,0,0,0,0,0,1943-12-23
"JG 3",1,"JG",2179,104,80,34,0,0,0,0,0,1943-12-23
"JG 300",1,"wilde_sau",56,17,3,0,0,0,0,0,0,1943-12-23
"JG 301",1,"wilde_sau",12,3,1,0,0,0,0,0,0,1943-12-23
"JG 302",1,"wilde_sau",32,9,2,0,0,0,0,0,0,1943-12-23
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-12-23
"JG 5",0,"JG",506,54,36,5,0,0,0,0,0,1943-12-23
"JG 51",0,"JG",3467,156,132,53,0,0,0,0,5,1943-12-23
"JG 52",0,"JG",3046,112,86,38,0,0,0,0,0,1943-12-23
"JG 53",0,"JG",759,56,35,12,0,0,0,0,0,1943-12-23
"JG 53",1,"JG",242,23,13,3,0,0,0,0,0,1943-12-23
"JG 54",0,"JG",2390,91,69,32,0,0,1,0,3,1943-12-23
"JG 54",1,"JG",330,16,15,5,0,0,0,0,0,1943-12-23
"JG 77",0,"JG",1367,90,56,18,0,0,0,0,0,1943-12-23
"JG27",0,"JG",14,2,1,0,0,0,0,0,0,1943-12-23
"JGr. 25",0,"JG",100,1,1,1,0,0,0,0,0,1943-12-23
"JGr. 50",0,"JG",125,1,1,1,0,0,0,0,0,1943-12-23
"JGr. Süd",0,"JG",172,1,1,1,0,0,0,0,0,1943-12-23
"Kdo.Herr.",0,"JG",5,3,0,0,0,0,0,0,0,1943-12-23
"KG 40",0,"JG",37,6,3,0,0,0,0,0,0,1943-12-23
