"","target_country","Date","Mission.Number","VIII.Ftr.Missions","VIII.Air.Support.Cmd","Target","Mission.Target.Type","Country","Notes","A.C.Type","Dispatched","Escorts","Recalled","RTB","Aborted","Lost.en.route","Bombed","Bombed.Opportunity","Target.Notes","Quantity","TimeOverTarget","Lost.return","Total.Lost","Interned","Crashed","Cat.E","Damaged","KIA","WIA","MIA","Claims.Destroyed","Probable","Damaged2","Gnd.Dest","Gnd.Prob","Gnd.DMG","Notes3","X4th.FG","X44.BG.H.","X91.BG.H.","X93.BG.H.","X97.BG.H.","X301.BG.H.","X303.BG.H.","X305.BG.H.","X306.BG.H.","X322.BG.M.","X323.BG.M.","X15.BS..LT.","lon","lat","lost_dispatched_ratio","has_weather","norway_denmark","target_type_2","distance","germany"
"36"," ,Belgium","7/25/1944",495,"","","","Escort","Belgium","","P-51",110,110,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"Escort",340.580324051365,0
"37"," ,Belgium","8/3/1944",513,"","","","","Belgium","2 AD Force 3","P-47",36,33,0,0,3,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,0,0,0,"",340.580324051365,0
"38"," ,Belgium","7/27/1944",498,"","","","Escort","Belgium","","P-51",0,0,0,0,0,0,0,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,Inf,0,0,"Escort",340.580324051365,0
"39"," ,Belgium","8/3/1944",513,"","","","","Belgium","2 AD Force 3","B-24",0,0,0,0,0,0,0,"1","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"",340.580324051365,0
"40"," ,Belgium","7/27/1944",498,"","","","Escort","Belgium","","P-38",154,154,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,1,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"Escort",340.580324051365,0
"41"," ,Belgium","7/27/1944",498,"","","","","Belgium","","B-24",0,0,0,0,0,0,0,"1","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"",340.580324051365,0
"42"," ,Belgium","7/27/1944",498,"","","","Escort","Belgium","","P-47",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"Escort",340.580324051365,0
"43"," ,Belgium","7/25/1944",495,"","","","Escort","Belgium","","P-38",26,26,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",4.469936,50.503887,NA,0,0,"Escort",340.580324051365,0
"45"," ,Europe","5/31/1944",382,"","","","Escort","Europe","","P-38",193,193,0,0,0,0,0,"","","","",0,0,0,0,0,1,0,0,0,0,"",0,1,0,0,"","","","","","","","","","","","","",15.2551187,54.5259614,NA,0,0,"Escort",1081.33716568278,0
"46"," ,Europe","5/31/1944",382,"","","","Escort","Europe","9th AF","",674,674,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",15.2551187,54.5259614,NA,0,0,"Escort",1081.33716568278,0
"47"," ,Europe","5/31/1944",382,"","","","Escort","Europe","","P-51",309,309,0,0,0,0,0,"","","","",0,2,0,0,0,0,0,0,2,0,"",0,3,0,1,"","","","","","","","","","","","","",15.2551187,54.5259614,Inf,0,0,"Escort",1081.33716568278,0
"48"," ,Europe","5/31/1944",382,"","","","Escort","Europe","","P-47",180,180,0,0,0,0,0,"","","","",0,1,0,0,0,3,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",15.2551187,54.5259614,Inf,0,0,"Escort",1081.33716568278,0
"49"," ,France","8/1/1944",508,"","","","","France","Force 3","B-17",0,0,0,0,0,0,0,"15","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"50"," ,France","6/15/1944",414,"","","","Escort","France","","P-47",202,202,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"51"," ,France","3/27/1944",282,"","","Various","Airfields","France","","B-17",0,0,0,0,0,0,0,"2","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Airfield",611.372407774983,0
"52"," ,France","6/17/1944",418,"","","","Escort","France","","P-51",90,90,0,0,0,0,0,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"53"," ,France","8/1/1944",508,"","","","Escort","France","2 AD Force 2","P-47",84,81,0,0,3,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"54"," ,France","7/23/1944",490,"","","","Escort","France","2 AD","P-38",177,177,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"55"," ,France","1/25/1943",0,"","","","Escort","France","Circus 255","Spitfire V",17,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","X","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"56"," ,France","6/10/1944",403,"","","","Escort","France","","P-51",364,364,0,0,0,0,0,"","","","",0,7,0,0,0,0,0,0,7,0,"",0,0,0,1,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"57"," ,France","8/7/1944",527,"","","","Escort","France","Force 1","P-51",139,123,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"58"," ,France","6/19/1944",423,"","","","Airfield","France","","B-17",0,0,0,0,0,0,0,"3","Various","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Airfield",611.372407774983,0
"59"," ,France","6/11/1944",405,"","","","Escort","France","","P-47",87,87,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"60"," ,France","6/13/1944",410,"","","","","France","","B-24",0,0,0,0,0,0,0,"3","Various","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"61"," ,France","8/13/1944",0,"","","","Escort","France","","Mosquito",1,0,0,0,0,0,0,"","Destroyed by the B-17","","",0,1,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,1,0,0,"Escort",611.372407774983,0
"62"," ,France","8/3/1944",512,"","","","","France","2 AD Force 1","B-24",0,0,0,0,0,0,0,"3","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"63"," ,France","1/26/1943",0,"","","","Escort","France","Circus 256 12 RAF Venturas","Spitfire V",22,0,0,0,0,0,0,"","","","",0,1,0,0,0,0,0,0,0,0,"",0,0,0,0,"","X","","","","","","","","","","","",2.213749,46.227638,0.0454545454545455,0,0,"Escort",611.372407774983,0
"64"," ,France","8/13/1944",549,"","","","Escort","France","","P-38",1,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"65"," ,France","6/15/1944",414,"","","","Escort","France","","P-51",211,211,0,0,0,0,0,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"66"," ,France","7/29/1944",503,"","","","Escort","France","2 AD Force 2","P-51",150,142,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"67"," ,France","6/17/1944",418,"","","","","France","","B-24",0,0,0,0,0,0,0,"1","Various","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"68"," ,France","7/15/1944",474,"","","Road traffic","Transportation","France","SE of Paris","P-38",169,0,0,0,0,0,169,"","","","",0,2,0,0,1,10,0,0,2,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.0118343195266272,0,0,"Transportation",611.372407774983,0
"69"," ,France","8/2/1944",511,"","","","Transportation","France","Fighter Bomber","P-51",51,0,0,0,0,0,0,"","","","",0,1,0,0,0,2,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.0196078431372549,0,0,"Transportation",611.372407774983,0
"70"," ,France","6/13/1944",411,"","","","Leaflet","France","","B-17",8,0,0,0,0,0,8,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Leaflet",611.372407774983,0
"71"," ,France","2/2/1943",0,"","","","Escort","France","Circus 257, 12 Venturas","Spitfire V",25,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","X","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"72"," ,France","6/14/1944",0,"","x","","Fighter Sweep","France","","P-51",197,0,0,0,26,0,171,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.0050761421319797,0,0,"Fighter Sweep",611.372407774983,0
"73"," ,France","7/5/1944",0,"","X","Various","Communications","France","Dive Bombing","P-47",0,0,0,0,0,0,6,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Communications",611.372407774983,0
"74"," ,France","6/19/1944",424,"","","","Escort","France","Two missions, morning and afternoon","P-47",122,122,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"75"," ,France","6/14/1944",0,"","x","","Fighter Sweep","France","","P-47",190,0,0,0,12,0,178,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.00526315789473684,0,0,"Fighter Sweep",611.372407774983,0
"76"," ,France","6/13/1944",410,"","","","Escort","France","","P-47",47,47,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"77"," ,France","8/9/1944",0,"","","","Escort","France","","P-51",40,40,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"78"," ,France","6/11/1944",405,"","","","","France","","",0,0,0,0,0,0,0,"52","Various","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"79"," ,France","8/4/1944",515,"","","","Escort","France","Aphrodite Missions","P-47",16,16,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"80"," ,France","7/31/1944",507,"","","","Escort","France","2 AD Force 2","P-47",38,38,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"81"," ,France","8/7/1944",527,"","","","Escort","France","Force 2","P-47",35,34,0,0,1,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"82"," ,France","6/4/1944",391,"","","","Escort","France","","P-47",135,135,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"83"," ,France","8/4/1944",516,"","","","Escort","France","","P-51",18,18,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"84"," ,France","6/14/1944",412,"","","","","France","","B-24",0,0,0,0,0,0,0,"32","Various","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"85"," ,France","8/8/1944",0,"","","","Transportation","France","","B-24",0,0,0,0,0,0,14,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Transportation",611.372407774983,0
"86"," ,France","6/11/1944",0,"","","","Ground Attack","France","","P-51",268,0,0,0,0,0,0,"","Communications","","",0,4,0,0,0,0,0,0,4,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.0149253731343284,0,0,"Tactical",611.372407774983,0
"87"," ,France","5/1/1944",333,"","","","Escort","France","","P-51",161,161,0,0,0,0,0,"","","","",0,1,0,0,0,1,0,1,0,5,"0",2,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"88"," ,France","8/4/1944",516,"","","","","France","","B-17",0,0,0,0,0,0,0,"13","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"89"," ,France","1/22/1943",0,"","","","Escort","France","Various targets of RAF Bostons","Spitfire V",25,0,0,0,0,0,0,"","","","",0,1,0,0,1,1,0,0,1,4,"",0,0,0,0,"","X","","","","","","","","","","","",2.213749,46.227638,0.04,0,0,"Escort",611.372407774983,0
"90"," ,France","7/5/1944",453,"","","","Escort","France","Beziers - Shuttle Mission Returning to England","P-51",53,53,0,0,11,0,0,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"91"," ,France","6/15/1944",414,"","","","Escort","France","","P-38",96,96,0,0,0,0,0,"","","","",0,2,0,0,0,0,0,0,2,5,"0",5,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"92"," ,France","5/2/1944",335,"","","","Escort","France","","P-51",52,52,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"93"," ,France","7/8/1944",460,"","","","Escort","France","","P-38",266,266,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,20,"0",19,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"94"," ,France","8/2/1944",511,"","","","Escort","France","","P-51",249,236,0,0,13,0,0,"8","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"95"," ,France","6/19/1944",423,"","","","Escort","France","","P-38",88,88,0,0,0,0,0,"","","","",0,4,0,0,0,0,0,0,4,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"96"," ,France","6/14/1944",0,"","x","","Fighter Sweep","France","","P-38",242,0,0,0,8,0,234,"","","","",0,3,0,0,1,0,0,0,3,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.012396694214876,0,0,"Fighter Sweep",611.372407774983,0
"97"," ,France","9/2/1943",0,"","41","","Airfield","France","","B-26",0,0,0,0,0,0,0,"69","fuel dump at Hesden","","",0,1,0,0,0,13,0,5,6,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Airfield",611.372407774983,0
"98"," ,France","8/8/1944",531,"","","","Ground Support","France","","B-17",0,0,0,0,0,0,0,"67","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Tactical",611.372407774983,0
"99"," ,France","5/31/1944",382,"","","Various","Railroad","France","Clouds over France","B-24",491,0,491,0,0,0,0,"","","","",0,0,0,0,1,7,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,1,0,"Transportation",611.372407774983,0
"100"," ,France","6/19/1944",424,"","","","Escort","France","Two missions, morning and afternoon","P-38",196,196,0,0,0,0,0,"","","","1 Group destroyed locomotive and 3 barges on way home",0,0,0,0,1,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"101"," ,France","8/8/1944",531,"","","","Escort","France","","P-51",100,91,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"102"," ,France","6/19/1944",424,"","","","Escort","France","Two missions, morning and afternoon","P-51",48,48,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"103"," ,France","8/4/1944",516,"","","","","France","","P-51",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"104"," ,France","6/13/1944",410,"","","","Escort","France","","P-51",174,174,0,0,0,0,0,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"105"," ,France","6/28/1944",445,"","","","Escort","France","","P-47",169,169,0,0,0,0,0,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"106"," ,France","6/28/1944",445,"","","","Escort","France","","P-51",231,231,0,0,0,0,0,"","","","",0,1,0,0,2,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"107"," ,France","7/23/1944",490,"","","","Escort","France","2 AD","P-51",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"108"," ,France","8/1/1944",508,"","","","Escort","France","2 AD Force 1","P-51",0,0,0,0,0,0,0,"","","","",0,0,0,0,1,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"109"," ,France","6/19/1944",423,"","","","Escort","France","","P-51",261,261,0,0,0,0,0,"","","","",0,6,0,0,0,0,0,0,6,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"110"," ,France","6/4/1944",391,"","","","Escort","France","","P-51",277,277,0,0,0,0,0,"","","","",0,1,0,0,1,1,0,0,0,1,"0",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"111"," ,France","8/10/1944",537,"","","","Escort","France","","P-51",249,238,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"112"," ,France","8/10/1944",537,"","","","Transportation","France","","B-24",0,0,0,0,0,0,0,"13","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Transportation",611.372407774983,0
"113"," ,France","8/12/1944",545,"","","","Escort","France","","P-47",386,386,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,1,"0",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"114"," ,France","8/8/1944",0,"","","","","France","","B-24",0,0,0,0,0,0,0,"13","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"115"," ,France","7/8/1944",460,"","","Various","","France","","B-17",0,0,0,0,0,0,0,"25","Various","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"116"," ,France","8/9/1944",535,"","","","Escort","France","","P-38",16,16,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"117"," ,France","12/31/1943",171,"","","","Escort","France","","P-38",74,0,0,0,0,0,0,"","","","",0,1,0,0,1,1,0,3,2,9,"1",1,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.0135135135135135,0,0,"Escort",611.372407774983,0
"118"," ,France","12/31/1943",171,"","","","Escort","France","","P-47",441,0,0,0,0,0,0,"","","","",0,2,0,0,6,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.00453514739229025,0,0,"Escort",611.372407774983,0
"119"," ,France","12/31/1943",171,"","","","Escort","France","","P-51",33,0,0,0,0,0,0,"","","","",0,1,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.0303030303030303,0,0,"Escort",611.372407774983,0
"120"," ,France","7/9/1944",463,"","","","Escort","France","B-24 Escort","P-51",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"121"," ,France","6/10/1944",404,"","","","Leaflet","France","Norway also","B-17",11,0,0,0,0,0,11,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Leaflet",611.372407774983,0
"122"," ,France","8/2/1944",511,"","","","Transportation","France","Fighter Bomber","P-38",49,0,0,0,0,0,0,"","","","",0,0,0,0,1,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Transportation",611.372407774983,0
"123"," ,France","6/14/1944",412,"","","","","France","","B-24",0,0,0,0,0,0,0,"12","Various","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"124"," ,France","8/2/1944",510,"","","","Escort","France","","P-51",158,132,0,0,0,0,0,"","","","",0,2,0,1,0,1,1,0,2,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.0126582278481013,0,0,"Escort",611.372407774983,0
"125"," ,France","5/1/1944",333,"","","","Escort","France","","P-38",120,120,0,0,0,0,0,"","","","",0,2,0,0,0,0,0,2,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
"126"," ,France","5/1/1944",333,"","","","Escort","France","","P-47",272,272,0,0,0,0,0,"","","","",0,0,0,0,0,4,0,0,0,1,"0",1,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"127"," ,France","7/28/1944",501,"","","","Escort","France","2 AD Force 1","P-51",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"128"," ,France","7/24/1944",492,"","","","Escort","France","","P-51",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"129"," ,France","8/4/1944",516,"","","","","France","","P-38",35,35,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"130"," ,France","8/7/1944",527,"","","","","France","Force 3","P-51",100,94,0,0,6,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"",611.372407774983,0
"131"," ,France","7/28/1944",501,"","","","Escort","France","2 AD Force 2","P-51",53,40,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"132"," ,France","8/7/1944",527,"","","","Escort","France","Force 1","P-51",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"133"," ,France","8/8/1944",531,"","","","","France","","",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"",611.372407774983,0
"134"," ,France","9/2/1943",89,"","","","Fighter Sweep","France","","P-47",182,182,0,0,0,0,0,"","","","",0,3,0,0,1,4,0,0,3,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Fighter Sweep",611.372407774983,0
"135"," ,France","6/16/1944",416,"","","","Escort","France","","P-38",165,165,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,1,"0",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,NA,0,0,"Escort",611.372407774983,0
"136"," ,France","8/2/1944",511,"","","","Transportation","France","Fighter Bomber","P-47",183,0,0,0,0,0,0,"","","","",0,1,0,0,0,6,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0.00546448087431694,0,0,"Transportation",611.372407774983,0
"137"," ,France","8/6/1944",524,"","","","Escort","France","Force 2","P-47",24,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Escort",611.372407774983,0
"138"," ,France","6/14/1944",0,"","x","","Fighter Sweep","France","","P-47",176,0,0,0,8,0,168,"","Luftwaffe HQ at Chantilly","","",0,0,0,0,0,0,0,0,0,0,"0",1,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,0,0,0,"Fighter Sweep",611.372407774983,0
"139"," ,France","6/17/1944",419,"","","","Escort","France","","P-51",148,148,0,0,0,0,0,"","","","",0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,"","","","","","","","","","","","","",2.213749,46.227638,Inf,0,0,"Escort",611.372407774983,0
