"","target_country","Date","Mission.Number","VIII.Ftr.Missions","VIII.Air.Support.Cmd","Target","Mission.Target.Type","Country","Notes","A.C.Type","Dispatched","Escorts","Recalled","RTB","Aborted","Lost.en.route","Bombed","Bombed.Opportunity","Target.Notes","Quantity","TimeOverTarget","Lost.return","Total.Lost","Interned","Crashed","Cat.E","Damaged","KIA","WIA","MIA","Claims.Destroyed","Probable","Damaged2","Gnd.Dest","Gnd.Prob","Gnd.DMG","Notes3","X4th.FG","X44.BG.H.","X91.BG.H.","X93.BG.H.","X97.BG.H.","X301.BG.H.","X303.BG.H.","X305.BG.H.","X306.BG.H.","X322.BG.M.","X323.BG.M.","X15.BS..LT.","lon","lat","lost_dispatched_ratio","has_weather","norway_denmark","target_type_2","distance","germany"
"2305","Nancy/Essay and Dijon/Longvic ,France","4/25/1944",317,"","","Nancy/Essay and Dijon/Longvic","Escort","France","","P-47",296,296,0,0,0,0,0,"","","","",0,0,0,0,0,3,1,0,0,5,"0",8,0,0,0,"","","","","","","","","","","","","",5.0704784,47.2781363,NA,0,0,"Escort",601.98404589121,0
"2306","Nantes ,France","6/7/1944",398,"","","Nantes","Bridge","France","","B-17",0,0,0,0,0,0,40,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Transportation",487.682270251358,0
"2307","Nantes ,France","6/15/1944",414,"","","Nantes","Railroad","France","","B-17",0,0,0,0,0,0,10,"","Viaduct n of Nantes","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Transportation",487.682270251358,0
"2308","Nantes ,France","9/16/1943",97,"","","Nantes","Port","France","","B-17",147,0,0,0,0,0,79,"","","","1502-1512",0,7,0,0,1,47,0,9,60,22,"2",5,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,0.0476190476190476,0,0,"Uboats",487.682270251358,0
"2309","Nantes ,France","6/15/1944",414,"","","Nantes","Railroad","France","","B-17",0,0,0,0,0,0,71,"","Bridge","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Transportation",487.682270251358,0
"2310","Nantes ,France","6/15/1944",414,"","","Nantes","Railroad","France","","B-17",0,0,0,0,0,0,46,"","Bridge south of city","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Transportation",487.682270251358,0
"2311","Nantes ,France","9/23/1943",101,"","","Nantes","Port","France","","B-17",91,0,0,0,0,0,61,"","","","1810-1815",0,2,0,0,12,6,0,12,20,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,0.021978021978022,0,0,"Uboats",487.682270251358,0
"2312","Nantes ,France","6/8/1944",400,"","","Nantes","Railroad","France","","B-17",0,0,0,0,0,0,25,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Transportation",487.682270251358,0
"2313","Nantes ,France","6/7/1944",398,"","","Nantes","Transportation","France","Afternoon mission","B-17",487,0,0,100,0,0,190,"","","","",0,1,0,0,1,78,21,12,12,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,0.00205338809034908,0,0,"Transportation",487.682270251358,0
"2314","Nantes ,France","9/16/1943",97,"","","Nantes","Airfield","France","","B-17",0,0,0,0,0,0,52,"","","","1509-1512",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Airfield",487.682270251358,0
"2315","Nantes ,France","9/23/1943",100,"","","Nantes","Port","France","","B-17",117,0,0,0,0,0,46,"","","","0813-0818",0,0,0,0,2,41,13,11,0,22,"1",3,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,0,0,0,"Uboats",487.682270251358,0
"2316","Nantes ,France","7/8/1944",460,"","","Nantes","Transportation","France","","B-17",0,0,0,0,0,0,11,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Transportation",487.682270251358,0
"2317","Nantes ,France","6/8/1944",400,"","","Nantes","Airfield","France","","B-24",0,0,0,0,0,0,42,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Airfield",487.682270251358,0
"2318","Nantes ,France","9/16/1943",97,"","","Nantes","Escort","France","","P-47",79,79,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,2,"0",1,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Escort",487.682270251358,0
"2319","Nantes / Gassicourt ,France","7/8/1944",460,"","","Nantes / Gassicourt","Transportation","France","","B-17",0,0,0,0,0,0,11,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,NA,0,0,"Transportation",487.682270251358,0
"2320","Nantes, Cambrai, Lille, Chateaurous, Lorient ,France","3/6/1944",251,"","","Nantes, Cambrai, Lille, Chateaurous, Lorient","Leaflet","France","","B-17",5,0,0,0,0,0,5,"","","","2029-2130",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",3.063907,50.6407493,0,0,0,"Leaflet",242.871467297023,0
"2321","Nantes, Orleans, Paris, Tours ,","4/20/1944",310,"","","Nantes, Orleans, Paris, Tours","Leaflet","","","B-17",5,0,0,0,0,0,5,"","","1920000","2238-2246",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",1.909584,47.9001205,0,0,0,"Leaflet",426.702771361327,0
"2322","Nantes, Zwolle, Turnhout, Antwerp, Paris, Brussels, Tours, Lorient, Amersfoote ,France","4/28/1944",326,"","","Nantes, Zwolle, Turnhout, Antwerp, Paris, Brussels, Tours, Lorient, Amersfoote","Leaflet","France","","B-17",5,0,0,0,0,0,0,"","","1640000","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-1.553621,47.218371,0,0,0,"Leaflet",487.682270251358,0
"2323","Nantes/Bouguenais ,France","6/10/1944",403,"","","Nantes/Bouguenais","Airfield","France","","B-17",507,0,0,0,0,0,55,"","","","",0,0,0,0,1,36,6,4,0,0,"",0,0,0,0,"","","","","","","","Nantes","","","","","",-1.619656,47.176385,0,0,0,"Airfield",493.285854711301,0
"2324","Nanteuil ,France","6/23/1944",436,"","","Nanteuil","Transportation","France","Heavy clouds","B-17",109,0,0,0,94,0,13,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-0.172909,46.411593,0,1,0,"Transportation",566.449067812285,0
"2325","Nanteuil ,France","6/23/1944",436,"","","Nanteuil","Transportation","France","Heavy clouds","B-17",0,0,0,0,0,0,0,"2","Various","","",0,1,0,0,0,2,0,1,10,0,"",0,0,0,0,"","","","","","","","","","","","","",-0.172909,46.411593,Inf,1,0,"Transportation",566.449067812285,0
"2326","Nanteuil ,France","8/7/1944",527,"","","Nanteuil","Transportation","France","Force 1","B-24",224,0,0,0,0,0,36,"","Bridge","","",0,0,0,0,1,80,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-0.172909,46.411593,0,0,0,"Transportation",566.449067812285,0
"2327","Nanteuil ,France","8/1/1944",508,"","","Nanteuil","Transportation","France","2 AD Force 1","B-24",0,0,0,0,0,0,12,"","Bridge","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-0.172909,46.411593,NA,0,0,"Transportation",566.449067812285,0
"2328","Nanteuil ,France","7/17/1944",478,"","","Nanteuil","Tactical","France","","B-24",0,0,0,0,0,0,30,"","Nanteuil","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-0.172909,46.411593,NA,0,0,"Tactical",566.449067812285,0
"2329","Nanteuil ,France","6/25/1944",442,"","","Nanteuil","Transportation","France","","B-17",0,0,0,0,0,0,21,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-0.172909,46.411593,NA,0,0,"Transportation",566.449067812285,0
"2330","Neckargemund ,Germany","7/21/1944",486,"","","Neckargemund","Factory","Germany","1 AD","B-17",0,0,0,0,0,0,5,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",8.802281,49.3866401,NA,0,0,"Industry",674.852998599429,1
"2331","Neckarsulm ,Germany","4/24/1944",315,"","","Neckarsulm","Aircraft","Germany","","B-17",0,0,0,0,0,0,15,"","Neckarsulm","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",9.2287089,49.1922581,NA,0,0,"Aircraft",711.969458401781,1
"2332","Netherlands ,","3/28/1944",283,"","","Netherlands","E-Boat Pens","","","B-24",77,0,77,0,0,0,0,"","Excessive clouds / No escorts","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",5.291266,52.132633,0,0,0,"Uboats",379.428544356032,0
"2333","Netherlands ,Netherlands","5/26/1944",0,"","","Netherlands","Fighter Sweep","Netherlands","Familiarization flight","P-38",30,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",5.291266,52.132633,0,0,0,"Fighter Sweep",379.428544356032,0
"2334","Netherlands ,Netherlands","5/27/1944",374,"","","Netherlands","Convoy","Netherlands","Barge convoy","P-47",24,0,0,0,0,0,24,"","Destroyed two barges","","",0,0,0,0,0,1,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",5.291266,52.132633,0,0,0,"Convoy",379.428544356032,0
"2335","Netherlands ,Netherlands","5/26/1944",372,"","","Netherlands","Leaflet","Netherlands","","B-17",4,0,0,0,0,0,4,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",5.291266,52.132633,0,0,0,"Leaflet",379.428544356032,0
"2336","Netherlands ,Netherlands","5/26/1944",0,"","","Netherlands","Fighter Sweep","Netherlands","Familiarization flight","P-38",28,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",5.291266,52.132633,0,0,0,"Fighter Sweep",379.428544356032,0
"2337","Neunkirchen ,Germany","5/27/1944",373,"","","Neunkirchen","Railroad","Germany","","B-24",0,0,0,0,0,0,66,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",7.186363,49.3518048,NA,0,0,"Transportation",570.856582844089,1
"2338","Neuss ,Germany","1/5/1945",0,"","","Neuss","","Germany","","B-17",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","Neuss","","","","","",6.6879511,51.2041968,NA,0,0,"",474.833348299177,1
"2339","Neuss ,Germany","1/5/1944",176,"","","Neuss","Industry","Germany","Beilenkirchen, Dusseldorf, Wassenburg","B-17",78,0,0,0,0,0,0,"73","Various","","",0,0,0,0,1,22,0,2,20,2,"5",2,0,0,0,"","","","","","","","","","","","","",6.6879511,51.2041968,0,0,0,"Industry",474.833348299177,1
"2340","Neuss ,Germany","12/6/1944",0,"","","Neuss","","Germany","","B-17",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","Neuss","","","","","",6.6879511,51.2041968,NA,0,0,"",474.833348299177,1
"2341","Neuvey-sur-Loire ,France","7/17/1944",478,"","","Neuvey-sur-Loire","Tactical","France","","B-24",0,0,0,0,0,0,34,"","Neuvey-sur-Loire","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.881347,47.523188,NA,0,0,"Tactical",493.142298592727,0
"2342","Nevers ,France","7/4/1944",0,"","X","Nevers","Railroad","France","Dive Bombing","P-47",189,0,0,0,0,0,0,"29","Marshalling yard","","",0,1,0,0,0,1,0,4,1,17,"0",10,1,0,0,"0","","","","","","","","","","","","",3.162845,46.990896,0.00529100529100529,0,0,"Transportation",555.869650888319,0
"2343","Nevvy-sur-Seine ,France","8/2/1944",510,"","","Nevvy-sur-Seine","Transportation","France","","B-24",163,0,0,0,0,0,36,"","Bridge","","",0,0,0,0,1,23,0,2,0,0,"",0,0,0,0,"","","","","","","","","","","","","",2.26851,48.884831,0,0,0,"Transportation",337.478929327625,0
"2344","Nider-Breisig ,Germany","12/12/1944",0,"","","Nider-Breisig","","Germany","","B-17",0,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","Nider-Breisig","","","","","",7.28973,50.5061497,NA,0,0,"",531.01731142983,1
"2345","Nienburg ,Germany","8/5/1944",519,"","","Nienburg","Factory","Germany","Force 2","B-17",426,0,0,0,0,0,176,"","","","",0,2,0,0,0,130,2,5,15,0,"",0,0,0,0,"","","","","","","","","","","","","",9.2084155,52.6380924,0.00469483568075117,0,0,"Industry",650.833353516112,1
"2346","Niort ,France","6/7/1944",398,"","","Niort","Transportation","France","","B-17",0,0,0,0,0,0,23,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",-0.464777,46.323716,NA,0,0,"Transportation",576.746788854945,0
"2347","Nivelles ,France","8/11/1944",541,"","","Nivelles","Airfield","France","Force 3","B-24",0,0,0,0,0,0,10,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",3.464499,50.468012,NA,0,0,"Airfield",276.693823533398,0
"2348","Nivelles ,France","5/9/1944",347,"","","Nivelles","Airfield","France","","B-24",0,0,0,0,0,0,10,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",3.464499,50.468012,NA,0,0,"Airfield",276.693823533398,0
"2349","Nogent-sur-Seine ,France","8/2/1944",510,"","","Nogent-sur-Seine","Transportation","France","","B-24",0,0,0,0,0,0,31,"","Bridge","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",3.498165,48.492624,NA,0,0,"Transportation",423.459601310963,0
"2350","Nogent ,France","7/8/1944",460,"","","Nogent","Railroad","France","","B-17",0,0,0,0,0,0,11,"","Marshalling Yard","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",5.341363,48.026938,NA,0,0,"Transportation",551.208877109565,0
"2351","Nogent ,France","6/25/1944",442,"","","Nogent","Transportation","France","","B-17",0,0,0,0,0,0,20,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",5.341363,48.026938,NA,0,0,"Transportation",551.208877109565,0
"2352","Nogent ,France","8/1/1944",508,"","","Nogent","Transportation","France","2 AD Force 1","B-24",0,0,0,0,0,0,44,"","Bridge","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",5.341363,48.026938,NA,0,0,"Transportation",551.208877109565,0
"2354","Nordenham ,Germany","6/18/1944",421,"","","Nordenham","","Germany","","B-24",0,0,0,0,0,0,9,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",8.4923933,53.498644,NA,0,0,"",624.62833879868,1
"2355","Nordhausen  ,Germany","7/20/1944",484,"","","Nordhausen ","Airfield","Germany","1 AD","B-17",0,0,0,0,0,0,36,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",10.791581,51.4990791,NA,0,0,"Airfield",756.01166061336,1
"2356","Nordhausen ,Germany","7/7/1944",458,"","","Nordhausen","City","Germany","","B-17",0,0,0,0,0,0,7,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",10.791581,51.4990791,NA,0,0,"City",756.01166061336,1
"2357","Nordhof ,Germany","8/4/1944",514,"","","Nordhof","Airfield","Germany","3 AD","B-17",0,0,0,0,0,0,23,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",12.8202958,52.7176857,NA,0,0,"Airfield",894.313213446369,1
"2358","Nordholz ,Germany","8/6/1944",524,"","","Nordholz","Airfield","Germany","Force 2","B-17",0,0,0,0,0,0,4,"","","","",0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",8.612098,53.7859,NA,0,0,"Airfield",642.316440379096,1
"2359","Normandy ,France","6/8/1944",400,"","","Normandy","Fighter Sweep","France","","P-51",89,0,0,0,0,0,0,"","","","",0,3,0,0,1,0,0,0,3,0,"",0,0,0,0,"","","","","","","","","","","","","",0.1712529,48.8798704,0.0337078651685393,0,0,"Fighter Sweep",292.449904969075,0
"2360","Normandy ,France","6/6/1944",394,"","","Normandy","Transportation","France","clouds","B-24",296,0,0,259,0,0,37,"","Argentan","","",0,2,0,0,0,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",0.1712529,48.8798704,0.00675675675675676,1,0,"Transportation",292.449904969075,0
"2361","Normandy ,France","6/7/1944",0,"","","Normandy","Beaches","France","","P-38",526,0,0,0,0,0,0,"","","","",0,0,0,0,0,0,0,0,0,2,"0",1,0,0,2,"","","","","","","","","","","","","",0.1712529,48.8798704,0,0,0,"Tactical",292.449904969075,0
"2362","Normandy ,France","6/8/1944",400,"","","Normandy","Fighter Sweep","France","","P-38",381,0,0,0,0,0,0,"","","","",0,0,0,0,1,0,0,0,0,0,"",0,0,0,0,"","","","","","","","","","","","","",0.1712529,48.8798704,0,0,0,"Fighter Sweep",292.449904969075,0
"2363","Normandy ,France","6/5/1944",392,"","","Normandy","NEPTUNE","France","Coastal defenses","B-24",206,0,0,0,0,0,203,"","","","",0,2,0,0,1,39,0,0,18,0,"",0,0,0,0,"","","","","","","","","","","","","",0.1712529,48.8798704,0.00970873786407767,0,0,"Tactical",292.449904969075,0
"2364","Normandy ,France","6/6/1944",395,"","","Normandy","Transportation","France","","B-17",409,0,0,0,0,0,325,"","","","",0,0,0,0,0,5,0,0,0,0,"",0,0,0,0,"","","","","","","","Vire S. Noir","","","","","",0.1712529,48.8798704,0,0,0,"Transportation",292.449904969075,0
"2365","Normandy ,France","6/5/1944",392,"","","Normandy","NEPTUNE","France","Coastal defenses","B-17",464,0,0,0,0,0,423,"","Le Harve,Boulogne,Caen,Cherbourg","","",0,4,0,0,0,37,1,10,29,0,"",0,0,0,0,"","","","","","","","Azeville/Caen","","","","","",0.1712529,48.8798704,0.00862068965517241,0,0,"Tactical",292.449904969075,0
"2366","Normandy ,France","6/6/1944",394,"","","Normandy","NEPTUNE","France","Coastal defenses - clouds obsure targets for some groups","B-24",543,0,0,0,0,0,418,"","","","",0,1,0,0,1,1,0,0,13,0,"",0,0,0,0,"","","","","","","","","","","","","",0.1712529,48.8798704,0.00184162062615101,1,0,"Tactical",292.449904969075,0
